Timepoint,Timepoint_Master,Date,Year,Time,Treatment,Temp,Cone,Culture,Family,ReefMom,Mom,Dad,Species,Boat.ID,Wells,No.LarvaeInExpected,No.LarvaeInObserved,No.LarvaeIn,Percent_Survival_atend,CrossType,Lifestage,Dataform,Cumulative.hrs,Mom2,Dad2,Cross,Cross_2,Zoox,Tank,Replicate,PlateSlide,Well,Recruit,Survival.T1,Condition,Area,Perimeter,CrossSection,Bleach,PAM,Infectionlevel,Rfile,R,R.ojbect,SINGLE.CLUMP,Photos.date,IPAM.date,microPAM.Date,Cassette,Survival.T6,Pamtype,Identifier
10,11,03.12.2019,2019,8:00,Ambient,27.5C,19,E3xD12,F10,E3 ,E3 , D12,A.ten,1,A,30,12,12,40,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,19,E3xD12,F10,E3 ,E3 , D12,A.ten,1,B,30,26,27,86.66666667,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,19,E3xD12,F10,E3 ,E3 , D12,A.ten,1,C,30,28,30,93.33333333,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,12,E3xD16,F5,E3 ,E3 , D16,A.ten,1,D,30,10,14,33.33333333,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,12,E3xD16,F5,E3 ,E3 , D16,A.ten,1,E,30,22,24,73.33333333,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,12,E3xD16,F5,E3 ,E3 , D16,A.ten,1,F,30,25,27,83.33333333,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,29,E3xD11,F16,E3 ,E3 , D11,A.ten,2,A,30,26,26,76.47058824,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,29,E3xD11,F16,E3 ,E3 , D11,A.ten,2,B,30,17,17,50,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,29,E3xD11,F16,E3 ,E3 , D11,A.ten,2,C,30,24,24,80,IndivCross,larvae,Raw,144,EskMom,DaviesDad,EskMomDaviesDad,ExD,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
10,11,03.12.2019,2019,8:00,Ambient,27.5C,45,E4xK1,F90,E4 ,E4 , K1,A.ten,2,D,30,27,27,90,IndivCross,larvae,Raw,144,EskMom,KeppelsDad,EskMomKeppelsDad,ExK,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA
