Tank,Stick,fragrep,Order,Population,Genotype,Tank,Temperature,FragReplic,Timepoint,Time,Survival,YII,Bleaching,Perc.necrosis
1,98,,K7.1,Keppels,Keppels7,,27.5C,K7.1,22042020,Tfinal,1,0.711,1,0
1,98,,K6.1,Keppels,Keppels6,,27.5C,K6.1,22042020,Tfinal,1,0.705,2,0
1,98,,K6.7,Keppels,Keppels6,,27.5C,K6.7,22042020,Tfinal,1,0.71,1,0
1,98,,K3.1,Keppels,Keppels3,,27.5C,K3.1,22042020,Tfinal,1,0.704,2,0
1,98,,EUN.1,Esk,EskUnknown,,27.5C,EUN.1,22042020,Tfinal,0,0,0,100
1,98,,EUN.7,Esk,EskUnknown,,27.5C,EUN.7,22042020,Tfinal,0,0,0,100
1,98,,EUN.13,Esk,EskUnknown,,27.5C,EUN.13,22042020,Tfinal,0,0,0,100
1,98,,E2.1,Esk,Esk2,,27.5C,E2.1,22042020,Tfinal,0,0,0,100
1,98,,E2.7,Esk,Esk2,,27.5C,E2.7,22042020,Tfinal,0,0,0,0
1,98,,E2.13,Esk,Esk2,,27.5C,E2.13,22042020,Tfinal,0,0,0,0
1,98,,E1.1,Esk,Esk1,,27.5C,E1.1,22042020,Tfinal,1,0.663,1,65.35020056
1,117,,E1.7,Esk,Esk1,,27.5C,E1.7,22042020,Tfinal,1,0.639,4,0
1,117,,E1.13,Esk,Esk1,,27.5C,E1.13,22042020,Tfinal,1,0.613,4,7.146224192
1,117,,D9.1,Davies,Davies9,,27.5C,D9.1,22042020,Tfinal,1,0.77,4,0
1,117,,D9.7,Davies,Davies9,,27.5C,D9.7,22042020,Tfinal,1,0.653,4,0
1,117,,20.1,Davies,Davies20,,27.5C,20.1,22042020,Tfinal,1,0.648,5,0
1,117,,20.7,Davies,Davies20,,27.5C,20.7,22042020,Tfinal,1,0.691,5,0
1,117,,20.13,Davies,Davies20,,27.5C,20.13,22042020,Tfinal,1,0.585,6,40.88696593
1,117,,13.1,Davies,Davies13,,27.5C,13.1,22042020,Tfinal,1,0.682,5,0
1,117,,13.7,Davies,Davies13,,27.5C,13.7,22042020,Tfinal,1,0.67,5,0
1,117,,13.13,Davies,Davies13,,27.5C,13.13,22042020,Tfinal,1,0.735,5,0
1,117,,14.1,Davies,Davies14,,27.5C,14.1,22042020,Tfinal,1,0.671,6,0
1,10,,14.7,Davies,Davies14,,27.5C,14.7,22042020,Tfinal,1,0.826,6,0
1,10,,14.13,Davies,Davies14,,27.5C,14.13,22042020,Tfinal,1,0.718,6,0
1,10,,18.1,Davies,Davies18,,27.5C,18.1,22042020,Tfinal,1,0.82,4,0
1,10,,18.7,Davies,Davies18,,27.5C,18.7,22042020,Tfinal,1,0.728,4,0
1,10,,18.13,Davies,Davies18,,27.5C,18.13,22042020,Tfinal,1,0.719,4,0
2,72,,K7.2,Keppels,Keppels7,,31C,K7.2,22042020,Tfinal,0,0,0,0
2,72,,K6.2,Keppels,Keppels6,,31C,K6.2,22042020,Tfinal,1,0.598,2,0
2,72,,K6.8,Keppels,Keppels6,,31C,K6.8,22042020,Tfinal,1,0.599,2,0
2,72,,K3.2,Keppels,Keppels3,,31C,K3.2,22042020,Tfinal,0,0,0,0
2,72,,K3.7,Keppels,Keppels3,,31C,K3.7,22042020,Tfinal,0,0,0,0
2,72,,EUN.2,Esk,EskUnknown,,31C,EUN.2,22042020,Tfinal,0,0,0,0
2,72,,EUN.8,Esk,EskUnknown,,31C,EUN.8,22042020,Tfinal,0,0,0,100
2,72,,E2.2,Esk,Esk2,,31C,E2.2,22042020,Tfinal,0,0,0,0
2,72,,E2.8,Esk,Esk2,,31C,E2.8,22042020,Tfinal,0,0,0,0
2,72,,E2.14,Esk,Esk2,,31C,E2.14,22042020,Tfinal,0,0,0,0
2,72,,E1.2,Esk,Esk1,,31C,E1.2,22042020,Tfinal,1,0.602,1,87.71382114
2,100,,E1.8,Esk,Esk1,,31C,E1.8,22042020,Tfinal,1,0.526,1,0
2,100,,E1.14,Esk,Esk1,,31C,E1.14,22042020,Tfinal,0,0,0,0
2,100,,D9.2,Davies,Davies9,,31C,D9.2,22042020,Tfinal,1,0.633,2,0
2,100,,D9.8,Davies,Davies9,,31C,D9.8,22042020,Tfinal,1,0.631,1,0
