Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,1,8,88.88888889,1,0,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,2,1,10,0,9,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,3,1,12.5,0,7,8
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,1,4,57.14285714,3,0,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,2,6,85.71428571,0,1,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,3,5,62.5,2,1,8
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,1,4,57.14285714,0,3,7
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,2,10,90.90909091,0,1,11
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,3,6,75,0,2,8
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,1,5,71.42857143,2,0,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,2,6,60,0,4,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,3,6,66.66666667,2,1,9
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,1,7,77.77777778,0,2,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,2,10,100,0,0,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,3,10,100,0,0,10
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,3,0,0,0,0,0
17/12/2019,19/12/2019,09:00,T40,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,1,0,0,0,0,0
17/12/2019,19/12/2019,09:00,T40,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,2,0,0,0,0,0
17/12/2019,19/12/2019,09:00,T40,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,3,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,1,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,2,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,1,2,20,0,8,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,2,3,33.33333333,0,6,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,3,5,71.42857143,0,2,7
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,3,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,1,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,2,1,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,1,6,66.66666667,3,0,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,2,1,16.66666667,1,4,6
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,3,3,33.33333333,0,6,9
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,3,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,1,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,2,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,1,0,0,0,8,8
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,2,2,25,0,6,8
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,3,3,50,2,1,6
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F15,E4 x D11,ExD,EskMom,24,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F15,E4 x D11,ExD,EskMom,24,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F15,E4 x D11,ExD,EskMom,24,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F16,E3 x D11,ExD,EskMom,10,1,0,0,2,6,8
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F16,E3 x D11,ExD,EskMom,10,2,0,0,0,10,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F16,E3 x D11,ExD,EskMom,10,3,6,60,2,2,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F17,D16 x E5,DxE,DaviesMom,30,1,3,30,0,7,10
